slug,path,era,created,shipped_or_last,shipped_flag,status_word,hours,bytes,lines,groups,tasks,files,merges,commits,all_commits,active_hours,work_sessions,mention_commits,pr_merges,pr_files,pr_insertions,pr_deletions,pr_branch_commits,pr_branch_hours,pr_active_hours
fix-task-project,.genie/wishes/genie-wishes-backup/fix-task-project/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,3953,94,1,7,3,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-team-lead-exit,.genie/wishes/genie-wishes-backup/fix-team-lead-exit/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,3485,113,2,10,3,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-team-lead-polling,.genie/wishes/genie-wishes-backup/fix-team-lead-polling/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,POLLING,324.31,2206,63,1,5,3,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-test-safety,.genie/wishes/genie-wishes-backup/fix-test-safety/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,5947,152,4,16,4,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-tmux-dual-statusbar,.genie/wishes/genie-wishes-backup/fix-tmux-dual-statusbar/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,7885,163,1,22,7,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
fix-tmux-session-explosion,.genie/wishes/genie-wishes-backup/fix-tmux-session-explosion/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-31T16:22:33-03:00,shipped,SHIPPED,73.72,5550,117,0,8,3,0,9,7,3.0,6,1,0,0,0,0,0,0.0,0.0
fix-trust-prompt,.genie/wishes/genie-wishes-backup/fix-trust-prompt/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,6383,160,2,19,8,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
genie-base-skill,.genie/wishes/genie-wishes-backup/genie-base-skill/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,5128,139,3,14,4,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
genie-export-import,.genie/wishes/genie-wishes-backup/genie-export-import/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,10774,292,6,37,6,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
genie-hacks-community-docs,.genie/wishes/genie-wishes-backup/genie-hacks-community-docs/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,195.71,7770,196,4,15,9,0,8,6,2.5,5,0,0,0,0,0,0,0.0,0.0
genie-hardening,.genie/wishes/genie-wishes-backup/genie-hardening/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,11097,242,5,9,11,1,7,6,2.5,5,1,1,9,773,41,2,0.2,0.6
genie-item-registry,.genie/wishes/genie-wishes-backup/genie-item-registry/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,13981,342,6,48,10,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
genie-observability,.genie/wishes/genie-wishes-backup/genie-observability/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DEFERRED,324.31,8450,204,3,28,5,1,7,6,2.5,5,1,1,5,1068,0,1,0.2,0.5
genie-omni-marriage,.genie/wishes/genie-wishes-backup/genie-omni-marriage/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,OBSOLETE,324.31,13646,323,6,45,7,0,9,7,3.0,6,1,0,0,0,0,0,0.0,0.0
genie-orchestration-fix,.genie/wishes/genie-wishes-backup/genie-orchestration-fix/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,12600,237,4,26,17,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
genie-resume,.genie/wishes/genie-wishes-backup/genie-resume/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,12220,274,4,37,11,1,7,6,2.5,5,1,1,8,1264,53,5,26.8,1.5
genie-scheduler,.genie/wishes/genie-wishes-backup/genie-scheduler/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,9970,244,4,44,7,1,7,6,2.5,5,1,1,13,3686,0,6,1.6,1.9
genie-stats-command,.genie/wishes/genie-wishes-backup/genie-stats-command/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,4997,149,3,16,4,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
hook-only-first-install,.genie/wishes/genie-wishes-backup/hook-only-first-install/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,3784,109,2,10,1,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
inbox-driven-sessions,.genie/wishes/genie-wishes-backup/inbox-driven-sessions/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,10333,255,4,33,9,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
messaging-refresh,.genie/wishes/genie-wishes-backup/messaging-refresh/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,APPROVED,324.31,7821,216,4,41,3,0,8,6,3.3,4,0,0,0,0,0,0,0.0,0.0
multi-agent-session-isolation,.genie/wishes/genie-wishes-backup/multi-agent-session-isolation/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,195.71,6708,159,3,16,7,0,8,6,2.5,5,0,0,0,0,0,0,0.0,0.0
omni-session-isolation,.genie/wishes/genie-wishes-backup/omni-session-isolation/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,4746,126,1,13,3,1,7,6,2.5,5,1,1,1,6,0,1,0.0,0.5
parallel-execution,.genie/wishes/genie-wishes-backup/parallel-execution/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,195.71,7724,221,5,24,10,0,8,6,2.5,5,0,0,0,0,0,0,0.0,0.0
pg-state-migration,.genie/wishes/genie-wishes-backup/pg-state-migration/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,WORK,324.31,5790,135,5,0,9,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
pg-total-migration,.genie/wishes/genie-wishes-backup/pg-total-migration/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,16795,330,5,45,21,2,7,7,2.6,5,2,1,25,2398,1882,23,2.6,3.0
pgserve-embed,.genie/wishes/genie-wishes-backup/pgserve-embed/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,9706,230,3,31,8,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
qa-dev-to-main,.genie/wishes/genie-wishes-backup/qa-dev-to-main/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,OBSOLETE,324.31,8245,233,5,44,1,0,8,6,2.5,5,0,0,0,0,0,0,0.0,0.0
readme-v4-agent-first,.genie/wishes/genie-wishes-backup/readme-v4-agent-first/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,15820,379,7,54,44,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
resilient-messaging,.genie/wishes/genie-wishes-backup/resilient-messaging/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,7099,199,4,14,6,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
resilient-resume,.genie/wishes/genie-wishes-backup/resilient-resume/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,3431,87,1,0,2,1,7,6,2.5,5,1,1,2,40,11,1,0.3,0.5
session-auto-create,.genie/wishes/genie-wishes-backup/session-auto-create/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,195.71,1053,37,1,3,1,0,8,6,2.5,5,0,0,0,0,0,0,0.0,0.0
session-continue-by-name,.genie/wishes/genie-wishes-backup/session-continue-by-name/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,10795,223,4,27,2,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
skills-v4-upgrade,.genie/wishes/genie-wishes-backup/skills-v4-upgrade/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,11721,267,5,32,10,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
stable-release-fixes,.genie/wishes/genie-wishes-backup/stable-release-fixes/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,8415,212,4,23,5,1,7,6,2.5,5,1,1,4,141,41,1,0.1,0.5
task-projects,.genie/wishes/genie-wishes-backup/task-projects/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,195.71,9945,236,3,35,5,1,8,7,3.0,6,1,1,7,519,47,2,1.4,1.9
team-lead-minimal,.genie/wishes/genie-wishes-backup/team-lead-minimal/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,4101,125,2,10,2,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
test-schema-isolation,.genie/wishes/genie-wishes-backup/test-schema-isolation/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,4791,148,3,12,3,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
tmux-split-tabbar,.genie/wishes/genie-wishes-backup/tmux-split-tabbar/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,15009,256,4,9,9,2,7,7,3.0,6,2,2,62,708,3631,12,3.5,2.7
tmux-tui,.genie/wishes/genie-wishes-backup/tmux-tui/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,7726,187,3,24,15,2,7,8,3.5,7,3,2,9,680,67,2,0.1,1.0
transcript-docs,.genie/wishes/genie-wishes-backup/transcript-docs/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,4953,138,1,12,7,1,7,6,2.5,5,1,1,5,12,1,1,0.4,0.5
v3-fixes-release,.genie/wishes/genie-wishes-backup/v3-fixes-release/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,8500,220,3,23,1,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
v4-critical-fixes,.genie/wishes/genie-wishes-backup/v4-critical-fixes/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,324.31,9079,198,3,31,10,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
voice-personality-pass,.genie/wishes/genie-wishes-backup/voice-personality-pass/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-11T05:58:25+00:00,unshipped,APPROVED,324.31,4364,144,3,16,6,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
work-fire-forget,.genie/wishes/genie-wishes-backup/work-fire-forget/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-03-28T14:39:35-03:00,shipped,SHIPPED,0.0,6229,161,2,18,3,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
worktree-out-of-repo,.genie/wishes/genie-wishes-backup/worktree-out-of-repo/WISH.md,v4,2026-03-28T14:39:35-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,195.71,5098,140,2,18,15,0,8,6,2.5,5,0,0,0,0,0,0,0.0,0.0
workflow-engine-runtime,.genie/wishes/genie-wishes-backup/workflow-engine-runtime/WISH.md,v4,2026-03-28T15:39:48-03:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,323.31,11912,311,7,48,4,0,7,5,2.0,4,0,0,0,0,0,0,0.0,0.0
task-auto-close-on-merge,.genie/wishes/genie-wishes-backup/task-auto-close-on-merge/WISH.md,v4,2026-03-29T04:12:58-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,182.16,3442,80,3,13,7,0,8,6,2.5,5,1,0,0,0,0,0,0.0,0.0
task-external-linking,.genie/wishes/genie-wishes-backup/task-external-linking/WISH.md,v4,2026-03-29T04:12:58-03:00,2026-03-31T16:22:33-03:00,shipped,SHIPPED,60.16,3563,73,3,11,5,0,8,6,2.5,5,1,0,0,0,0,0,0.0,0.0
unique-leader-names,.genie/wishes/genie-wishes-backup/unique-leader-names/WISH.md,v4,2026-03-30T23:37:28-03:00,2026-03-31T16:22:33-03:00,shipped,SHIPPED,16.75,14975,350,7,40,12,2,9,9,4.8,6,5,2,36,1040,1971,11,0.9,1.7
test-pg-ram-isolation,.genie/wishes/genie-wishes-backup/test-pg-ram-isolation/WISH.md,v4,2026-04-04T21:08:18-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,21.23,12958,226,2,24,6,0,7,5,2.0,4,1,0,0,0,0,0,0.0,0.0
unified-executor-layer,.genie/wishes/unified-executor-layer/WISH.md,v4,2026-04-05T00:17:28-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,18.08,49478,783,14,95,29,1,10,9,4.2,6,1,1,28,3634,105,16,3.3,3.7
fix-omni-bridge-hardening,.genie/wishes/genie-wishes-backup/fix-omni-bridge-hardening/WISH.md,v4,2026-04-05T14:01:31-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,4.35,3771,88,2,0,4,0,7,6,2.5,5,2,0,0,0,0,0,0.0,0.0
unified-omni-bridge,.genie/wishes/genie-wishes-backup/unified-omni-bridge/WISH.md,v4,2026-04-05T14:01:31-03:00,2026-04-05T18:22:17-03:00,shipped,SHIPPED,4.35,21754,417,2,51,10,2,7,7,3.7,4,3,1,16,1201,641,12,3.0,3.2
genie-app-v2-ui,.genie/wishes/genie-wishes-backup/genie-app-v2-ui/WISH.md,v4,2026-04-05T14:50:10-03:00,2026-04-11T05:58:25+00:00,unshipped,REVISED,132.14,60867,937,11,94,78,0,6,4,1.5,3,1,0,0,0,0,0,0.0,0.0
agent-stability-hardening,.genie/wishes/_archive/agent-stability-hardening/WISH.md,v4,2026-04-08T22:59:09-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,37.79,19572,347,8,56,23,0,14,10,3.4,6,0,0,0,0,0,0,0.0,0.0
unify-bridge-revamp-skills,.genie/wishes/_archive/unify-bridge-revamp-skills/WISH.md,v4,2026-04-09T22:15:08+00:00,2026-07-02T11:52:46-03:00,unshipped,IPC,2008.63,24139,316,9,46,16,0,10,9,3.0,4,0,0,0,0,0,0,0.0,0.0
genie-simulations,.genie/wishes/genie-simulations/WISH.md,v4,2026-04-09T23:12:23+00:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,2007.67,26901,489,10,75,26,2,7,9,3.0,5,2,2,102,32408,22,6,0.5,2.0
genie-metaverse,.genie/wishes/genie-wishes-backup/genie-metaverse/WISH.md,v4,2026-04-09T23:12:23+00:00,2026-04-11T05:58:25+00:00,unshipped,DRAFT,30.77,17461,340,7,53,8,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
brain-embeddings,.genie/wishes/_archive/brain-embeddings/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,4704,73,0,17,3,0,7,5,1.4,2,0,0,0,0,0,0,0.0,0.0
brain-foundation,.genie/wishes/_archive/brain-foundation/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,9680,229,0,13,12,0,7,5,1.4,2,0,0,0,0,0,0,0.0,0.0
brain-help-passthrough,.genie/wishes/_archive/brain-help-passthrough/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,READY,1991.1,6070,160,2,0,4,2,5,6,2.8,3,2,2,2,48,4,2,10.0,1.0
brain-identity-impl,.genie/wishes/_archive/brain-identity-impl/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,4565,73,0,16,4,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
brain-init-skill,.genie/wishes/_archive/brain-init-skill/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,3229,58,0,9,2,0,7,5,1.4,2,0,0,0,0,0,0,0.0,0.0
brain-intelligence,.genie/wishes/_archive/brain-intelligence/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,5720,84,0,16,9,0,7,5,1.4,2,0,0,0,0,0,0,0.0,0.0
brain-observability,.genie/wishes/_archive/brain-observability/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,4608,71,0,16,2,0,7,5,1.4,2,0,0,0,0,0,0,0.0,0.0
brain-obsidian,.genie/wishes/_archive/brain-obsidian/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,PARENT,1991.1,101147,1931,0,60,8,0,7,5,1.4,2,0,0,0,0,0,0,0.0,0.0
env-defaults-local-mode,.genie/wishes/_archive/env-defaults-local-mode/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,APPROVED,1991.1,6722,149,3,19,4,0,7,5,1.4,2,0,0,0,0,0,0,0.0,0.0
genie-app,.genie/wishes/_archive/genie-app/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,28503,591,10,67,29,3,8,18,5.4,6,12,2,55,14656,1212,18,4.3,5.1
genie-layout-migration,.genie/wishes/_archive/genie-layout-migration/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,14437,293,3,39,9,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
genie-model-resolution,.genie/wishes/_archive/genie-model-resolution/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,35620,478,7,85,20,2,8,8,2.9,5,2,2,17,1370,55,3,14.4,1.5
genie-onboarding-flow,.genie/wishes/_archive/genie-onboarding-flow/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,25564,454,7,82,26,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
omni-lifecycle-hardening,.genie/wishes/_archive/omni-lifecycle-hardening/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,31286,402,1,36,33,0,7,5,1.4,2,0,0,0,0,0,0,0.0,0.0
omni-skill-upgrade,.genie/wishes/_archive/omni-skill-upgrade/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,13303,310,4,32,18,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
omni-version-unify,.genie/wishes/_archive/omni-version-unify/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,15567,258,1,24,10,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
os-services-orphan-leak,.genie/wishes/_archive/os-services-orphan-leak/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,7571,144,3,0,8,0,7,5,1.4,2,0,0,0,0,0,0,0.0,0.0
pgserve-daemon-ownership,.genie/wishes/_archive/pgserve-daemon-ownership/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,6092,141,3,0,7,1,7,6,1.9,3,1,1,4,162,17,2,0.6,0.8
remove-openclaw,.genie/wishes/_archive/remove-openclaw/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,8288,179,2,14,19,4,7,9,3.0,5,4,3,23,71,249,5,3.0,2.0
rlmx-v02,.genie/wishes/_archive/rlmx-v02/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,21589,479,9,78,27,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
rlmx-v03-cag,.genie/wishes/_archive/rlmx-v03-cag/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,24116,456,7,72,21,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
rlmx-v04-gemini3,.genie/wishes/_archive/rlmx-v04-gemini3/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,25440,534,12,83,26,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
scaffold-auto-memory,.genie/wishes/_archive/scaffold-auto-memory/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,READY,1991.1,6551,169,2,0,8,2,5,6,2.8,3,2,2,4,84,10,2,10.0,1.0
session-capture-v2,.genie/wishes/_archive/session-capture-v2/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,23601,453,4,0,12,2,7,7,2.3,3,2,2,15,1395,405,5,0.3,1.3
session-ingester-perf,.genie/wishes/_archive/session-ingester-perf/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,7062,149,4,0,2,0,7,5,1.4,2,0,0,0,0,0,0,0.0,0.0
v4-database-layer,.genie/wishes/_archive/v4-database-layer/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,5510,117,2,13,0,1,8,8,2.8,4,2,1,7,184,10,4,0.5,0.8
v4-hook-cli-safety,.genie/wishes/_archive/v4-hook-cli-safety/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,4904,90,1,13,7,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
v4-message-routing,.genie/wishes/_archive/v4-message-routing/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,6128,132,3,14,0,2,8,8,3.0,4,2,0,0,0,0,0,0.0,0.0
v4-session-executor,.genie/wishes/_archive/v4-session-executor/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,6465,142,3,16,0,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
v4-spawn-resilience,.genie/wishes/_archive/v4-spawn-resilience/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,9480,177,3,17,7,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
v4-team-lifecycle,.genie/wishes/_archive/v4-team-lifecycle/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-04-10T12:46:35-03:00,shipped,SHIPPED,0.0,5559,138,3,16,0,0,8,6,1.9,3,0,0,0,0,0,0,0.0,0.0
brain-benchmark-loop,.genie/wishes/brain-benchmark-loop/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,IN_PROGRESS,1991.1,5748,131,0,6,0,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
brain-cag-v2-polish,.genie/wishes/brain-cag-v2-polish/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,APPROVED,1991.1,7377,178,3,26,5,0,4,4,1.5,3,0,0,0,0,0,0,0.0,0.0
brain-cag,.genie/wishes/brain-cag/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,1860,38,0,5,0,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
brain-optimizer,.genie/wishes/brain-optimizer/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,2957,60,0,6,0,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
crew-simplification,.genie/wishes/crew-simplification/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,7642,179,3,21,5,0,4,4,1.5,3,0,0,0,0,0,0,0.0,0.0
genie-app-v1,.genie/wishes/genie-app-v1/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,APPROVED,1991.1,55689,1099,11,102,68,2,3,5,1.7,3,2,1,50,14636,1191,16,4.3,4.6
genie-skill-graph,.genie/wishes/genie-skill-graph/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,15674,355,6,37,17,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
omni-turn-based-dx,.genie/wishes/omni-turn-based-dx/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,18255,383,6,55,11,0,5,5,1.5,2,2,0,0,0,0,0,0.0,0.0
rlmx-dogfood,.genie/wishes/rlmx-dogfood/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,30074,596,4,48,11,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
rlmx-integration,.genie/wishes/rlmx-integration/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,11095,263,4,28,6,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
rlmx-readme,.genie/wishes/rlmx-readme/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,10838,244,5,32,3,0,3,3,1.0,2,0,0,0,0,0,0,0.0,0.0
sac-agent,.genie/wishes/sac-agent/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,DRAFT,1991.1,20741,596,5,43,11,0,4,4,1.5,3,0,0,0,0,0,0,0.0,0.0
sdk-executor-full,.genie/wishes/sdk-executor-full/WISH.md,v4,2026-04-10T12:46:35-03:00,2026-07-02T11:52:46-03:00,unshipped,APPROVED,1991.1,39793,698,14,83,22,1,3,4,1.5,3,1,1,35,6493,37,23,16.5,3.5
